,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,name
26,3156465419.0,3607823225.0,58309667.0,3156465419.0,3607823232.0,58702883.0,3156465419.0,3607823232.0,58768419.0,3156465419.0,3607823224.0,58178595.0,540291095.0,4075872460.0,825242144.0,7-2010-02-26_14.30.19.rdf
27,3156465419.0,3607823225.0,58309667.0,3156465419.0,3607823232.0,58702883.0,3156465419.0,3607823232.0,58768419.0,3156465419.0,3607823224.0,58178595.0,540291095.0,4075872460.0,825242144.0,7-2010-03-04_11.58.08.rdf
28,3156465419.0,3607823225.0,58309667.0,3156465419.0,3607823232.0,58702883.0,3156465419.0,3607823232.0,58768419.0,3156465419.0,3607823224.0,58178595.0,540618778.0,4041401812.0,553446368.0,7-2010-03-04_12.00.33.rdf
29,3156465419.0,3607823225.0,58309667.0,3156465419.0,3607823232.0,58702883.0,3156465419.0,3607823232.0,58768419.0,3156465419.0,3607823224.0,58178595.0,540291354.0,4041401812.0,553446368.0,7-2012-02-09_09.48.47.rdf
30,3156465419.0,3607823225.0,58309667.0,3156465419.0,3607823232.0,58702883.0,3156465419.0,3607823232.0,58768419.0,3156465419.0,3607823224.0,58178595.0,540291354.0,4041401812.0,553446368.0,7-2012-02-14_12.45.41.rdf
31,3156465419.0,3607823240.0,59292707.0,3156465419.0,3607823242.0,59554851.0,3156465419.0,3607823239.0,59030563.0,3156465419.0,3607823234.0,58899491.0,540553239.0,4243455688.0,825242144.0,7-2012-02-14_12.52.50.rdf
32,3156465419.0,3607823240.0,59292707.0,3156465419.0,3607823242.0,59554851.0,3156465419.0,3607823239.0,59030563.0,3156465419.0,3607823234.0,58899491.0,540356889.0,3791646413.0,841022704.0,7-2013-06-08_04 34 39.rdf
33,3156465419.0,3607823240.0,59292707.0,3156465419.0,3607823242.0,59554851.0,3156465419.0,3607823239.0,59030563.0,3156465419.0,3607823234.0,58899491.0,540357145.0,3791646413.0,841022704.0,7-2013-11-15_14.52.58.rdf
34,3156465419.0,3607823240.0,59292707.0,3156465419.0,3607823242.0,59554851.0,3156465419.0,3607823239.0,59030563.0,3156465419.0,3607823234.0,58899491.0,540357145.0,3791646413.0,841022704.0,7-2013-11-25_14.29.56.rdf
35,3156465419.0,3607823240.0,59292707.0,3156465419.0,3607823242.0,59554851.0,3156465419.0,3607823239.0,59030563.0,3156465419.0,3607823234.0,58899491.0,540619289.0,3791646413.0,841022704.0,7-2013-11-25_14.52.13.rdf
36,3156465419.0,3607823240.0,59292707.0,3156465419.0,3607823242.0,59554851.0,3156465419.0,3607823239.0,59030563.0,3156465419.0,3607823234.0,58899491.0,540029721.0,3791646413.0,841022704.0,7-2013-11-29_21.49.50.rdf
37,3156465419.0,3607823240.0,59292707.0,3156465419.0,3607823242.0,59554851.0,3156465419.0,3607823239.0,59030563.0,3156465419.0,3607823234.0,58899491.0,540160026.0,3773490628.0,553447649.0,7-2013-11-30_21.50.53.rdf
38,,,,,,,,,,,,,,,,7-2013-12-02_01.03.47.rdf
