,root,name,size,number
63,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Камтэкс-Химпром\осц_Камтэкс,2011-04-26_20.01.31.rdf,30758,150
64,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Каштан\Каштан-1-2,2011-09-02_13.42.09.rdf,30760,147
65,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Каштан\Каштан-1-2,2011-09-02_14.14.21.rdf,30819,147
66,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Каштан\Каштан-3-4,2011-09-06_12.47.48.rdf,30688,148
67,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Каштан\Каштан-3-4,2011-09-06_12.52.16.rdf,30715,148
68,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Пур-Пе\Осциллограммы срабатывания,2011-10-22_07.40.25.rdf,30759,153
69,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Пур-Пе\Осциллограммы срабатывания,2011-10-22_07.40.38.rdf,30759,153
70,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Пур-Пе\Осциллограммы срабатывания,2011-10-22_07.40.52.rdf,30759,153
71,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Пур-Пе\Осциллограммы срабатывания,2011-10-27_12.32.19.rdf,30759,153
72,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Пур-Пе\Осциллограммы срабатывания,2011-10-27_13.00.14.rdf,30759,153
73,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Пур-Пе\Осциллограммы срабатывания,2011-10-27_13.40.17.rdf,30759,153
74,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Пур-Пе\Пур Пе осц,2011-08-15_16.28.13ашение ввода №2.rdf,30641,153
75,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Пур-Пе\Пур Пе осц,2011-08-15_16.28.1гашение ввода №2.rdf,30641,153
76,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Пур-Пе\Пур Пе осц,2011-08-15_16.33.54 Отключение Ввода№1.rdf,30668,153
77,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Самотлор\Осц Самотлор,2011-08-22_10.55.47 самотлор отлёчение ввода №2.rdf,30677,149
78,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Самотлор\Осц Самотлор,2011-08-22_11.06.41отключение ввода№1.rdf,30704,149
79,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Тайшет\Осц Тайшет,2011-02-28_12.02.43.rdf,30759,113
80,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Тайшет\Осц Тайшет,2011-03-18_10.10.21.rdf,30756,113
81,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию 2011\Тайшет\Осц Тайшет,2011-04-19_16.13.12.rdf,30758,113
82,"//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию старые\ТАВР-0,4 Балтнефтепровод\Правдино\Осциллограммы",2010-02-26_14.30.19.rdf,30759,7
83,"//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию старые\ТАВР-0,4 Балтнефтепровод\Правдино\Осциллограммы",2010-03-04_11.58.08.rdf,30756,7
84,"//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Акты ТАВР ввод в эксплуатацию\Ввод в эксплуатацию старые\ТАВР-0,4 Балтнефтепровод\Правдино\Осциллограммы",2010-03-04_12.00.33.rdf,30756,7
85,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание\СЗМН 2009\Лазарево-1\Осциллограммы,2009-05-12_04.41.28.rdf,30755,49
86,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание\СЗМН 2009\Лазарево-1\Осциллограммы,2009-05-30_02.27.39.rdf,30755,49
87,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание\СЗМН 2009\Лазарево-1\Осциллограммы,2009-05-31_02.25.16.rdf,30755,49
88,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\СЗМН\Ковали\осц_Ковали_2010_,2010-06-25_04.32.37.rdf,30756,41
89,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\СЗМН\Ковали\осц_Ковали_2010_,2010-07-06_09.53.55.rdf,30756,41
90,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\СЗМН\Ковали\осц_Ковали_2010_,2010-07-06_10.04.18.rdf,30756,41
91,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\СЗМН\Тиньговатово\Тиньговатово-1-2,2009-06-17_12.49.24.rdf,30756,34
92,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\СЗМН\Тиньговатово\Тиньговатово-1-2,2009-09-08_14.16.44.rdf,30760,34
93,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\СЗМН\Тиньговатово\Тиньговатово-1-2,2009-11-10_15.05.21.rdf,30758,34
94,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\СЗМН\Тиньговатово\Тиньговатово-3-4,2009-06-17_12.45.13.rdf,30756,35
95,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\СЗМН\Тиньговатово\Тиньговатово-3-4,2009-09-08_14.11.11.rdf,30760,35
96,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\СЗМН\Тиньговатово\Тиньговатово-3-4,2009-11-10_14.58.44.rdf,30758,35
97,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\Трансибнефть\Рыбинская,2010-11-15_09.31.54.rdf,30758,52
98,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\Трансибнефть\Рыбинская,2010-11-15_09.35.33.rdf,30758,52
99,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2010\Трансибнефть\Рыбинская,2010-11-15_09.36.49.rdf,30758,52
100,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Балтика\Невская,2011-08-16_10.31.39.rdf,30758,93
101,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Балтика\Сестрорецкая,2011-08-20_09.54.43.rdf,30758,23
102,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Балтика\Сестрорецкая,2012-02-16_20.14.39.rdf,30759,23
103,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Балтика\Сестрорецкая,2012-02-16_20.15.54.rdf,30759,23
104,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Балтика\Сестрорецкая,2012-03-13_11.35.30.rdf,30756,23
105,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Дружба\Сызрань,2012-03-13_11.36.41.rdf,30756,68
106,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Дружба\Сызрань,2012-03-13_11.55.50.rdf,30756,68
107,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Дружба\Сызрань,2012-03-14_10.02.23.rdf,30756,68
108,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Центросиб\Молчаново,2011-08-30_13.13.18.rdf,30758,56
109,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Центросиб\Молчаново,2011-08-30_14.04.07.rdf,30758,56
110,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Центросиб\Молчаново,2011-12-11_03.37.52.rdf,30759,56
111,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Центросиб\Орловка,2011-08-29_11.14.46.rdf,30758,124
112,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Центросиб\Орловка,2011-09-25_05.16.59.rdf,30760,124
113,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2011\Центросиб\Орловка,2011-12-11_00.43.11.rdf,30759,124
114,//vault2/Бесконтактная техника/1 ОБТ\АКТЫ обслуживания ТАВР\Обслуживание 2012\Балтика\Невская,2012-07-24_13.44.28.rdf,30756,93
